Crop_class,B02_refl,B03_refl,B04_refl,B08_refl
chana,1600,1582,0,0
chana,0,0,0,1759
chana,1773,0,0,0
chana,0,0,1913,1824
chana,0,0,0,0
chana,0,2968,3294,0
chana,0,0,0,0
chana,1472,1468,1453,1491
chana,1534,0,0,1643
chana,1640,1662,1718,1769
chana,0,0,1692,1524
chana,1569,1697,1816,0
chana,0,2762,3832,4148
chana,3968,3618,0,0
chana,1450,1445,1407,1393
chana,1394,0,0,1620
chana,1600,1587,1636,1690
chana,0,0,1670,1497
chana,1456,1479,1491,0
chana,0,2792,3828,4176
chana,4576,4648,0,0
chana,1448,1399,1397,1406
chana,1394,0,0,1633
chana,1610,1590,1588,1601
chana,0,0,1682,1496
chana,1478,1472,1470,0
chana,0,2776,3646,3764
chana,4188,4488,0,0
chana,1463,1398,1390,1382
chana,1368,0,0,1638
chana,1578,1582,1573,1588
chana,0,0,1678,1505
chana,1491,1470,1454,0
chana,0,2654,3498,3534
chana,3834,4062,0,0
chana,1487,1437,1390,1394
chana,1376,0,0,1617
chana,1592,1602,1546,1570
chana,0,0,1662,1488
chana,1449,1455,1456,0
chana,0,2604,3662,3952
chana,3886,3710,0,0
chana,1471,1398,1383,1406
chana,1393,0,0,1617
chana,1616,1567,1550,1569
chana,0,0,1658,1514
chana,1449,1451,1478,0
chana,0,2642,3698,3924
chana,3942,3806,0,0
chana,1480,1378,1385,1411
chana,1404,0,0,1640
chana,1592,1546,1579,1600
chana,0,0,1676,1519
chana,1461,1428,1475,0
chana,0,2666,3468,3818
chana,4108,3876,0,0
chana,1479,1399,1383,1378
chana,1411,0,0,1636
chana,1601,1568,1594,1584
chana,0,0,1698,1516
chana,1446,1414,1491,0
chana,0,2566,3464,3978
chana,4328,3806,0,0
chana,1443,1444,1397,1386
chana,1413,1369,0,1604
chana,1588,1561,1592,1570
chana,1575,0,1688,1564
chana,1440,1436,1494,1522
chana,0,2414,3238,3790
chana,4108,3664,3068,0
chana,1440,1422,1399,1390
chana,1374,1396,0,1598
chana,1584,1540,1560,1554
chana,1542,0,1653,1570
chana,1480,1493,1491,1509
chana,0,2356,2998,3448
chana,3474,3354,3084,0
chana,1459,1421,1408,1403
chana,1364,1410,0,1604
chana,1588,1549,1564,1554
chana,1573,0,1669,1578
chana,1518,1502,1479,1508
chana,0,2410,2994,3254
chana,3332,3330,3144,0
chana,0,1450,1387,1396
chana,1368,1399,0,0
chana,1580,1585,1594,1585
chana,1596,0,0,1601
chana,1509,1482,1482,1520
chana,0,0,2914,3374
chana,3596,3718,3342,0
chana,0,1415,1358,1392
chana,1395,1431,0,0
chana,1586,1582,1580,1590
chana,1602,0,0,1612
chana,1504,1475,1482,1528
chana,0,0,3098,3542
chana,3854,3762,3392,0
chana,0,1443,1407,1406
chana,1402,1410,0,0
chana,1600,1586,1624,1604
chana,1587,0,0,1585
chana,1470,1483,1486,1527
chana,0,0,3322,3874
chana,4328,3814,3396,0
chana,0,1430,1407,1417
chana,1418,1436,0,0
chana,1624,1600,1600,1607
chana,1604,0,0,1612
chana,1473,1481,1496,1510
chana,0,0,3192,3786
chana,4018,3846,3566,0
chana,0,1505,1396,1399
chana,1405,1436,0,0
chana,1615,1620,1632,1600
chana,1628,0,0,1634
chana,1530,1474,1510,1538
chana,0,0,2978,3304
chana,3646,3976,3806,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,1499,1564,1495,0
Garlic,0,0,0,0
Garlic,0,0,1778,1820
Garlic,1683,0,0,0
Garlic,0,0,0,0
Garlic,1706,1902,1726,0
Garlic,0,0,0,0
Garlic,0,0,4046,3420
Garlic,3198,0,0,0
Garlic,0,0,0,0
Garlic,1459,1468,1465,1490
Garlic,1542,0,0,0
Garlic,0,0,1675,1714
Garlic,1668,1688,1758,0
Garlic,0,0,0,0
Garlic,1610,1728,1689,1756
Garlic,1900,0,0,0
Garlic,0,0,3986,3182
Garlic,3064,3236,3232,0
Garlic,0,0,0,0
Garlic,1406,1370,1419,1387
Garlic,1432,1467,1529,0
Garlic,0,0,1602,1602
Garlic,1598,1620,1616,1642
Garlic,1727,0,0,0
Garlic,1526,1593,1581,1593
Garlic,1610,1684,1814,0
Garlic,0,0,3784,2924
Garlic,2778,2892,2924,2954
Garlic,3054,0,0,0
Garlic,1420,1399,1432,1436
Garlic,1393,1396,1411,1458
Garlic,1452,0,1579,1590
Garlic,1572,1575,1558,1590
Garlic,1622,1654,1644,0
Garlic,1505,1552,1526,1537
Garlic,1570,1572,1622,1680
Garlic,1657,0,3500,2834
Garlic,2742,2778,2762,2730
Garlic,2764,2830,2874,0
Garlic,1415,1418,1408,1411
Garlic,1393,1395,1388,1439
Garlic,1387,0,1584,1620
Garlic,1598,1576,1593,1598
Garlic,1614,1616,1576,0
Garlic,1522,1544,1529,1500
Garlic,1516,1537,1544,1540
Garlic,1501,0,3396,2866
Garlic,2720,2762,2818,2714
Garlic,2720,2774,2876,0
Garlic,1408,1400,1391,1406
Garlic,1430,1418,1396,1446
Garlic,1363,0,1630,1614
Garlic,1581,1582,1601,1596
Garlic,1598,1630,1561,0
Garlic,1530,1539,1529,1504
Garlic,1526,1532,1524,1530
Garlic,1492,0,3246,2852
Garlic,2788,2844,2892,2798
Garlic,2716,2766,2750,0
Garlic,1384,1401,1424,1415
Garlic,1428,1436,1409,1391
Garlic,1374,0,1604,1610
Garlic,1598,1578,1581,1604
Garlic,1602,1604,1553,0
Garlic,1532,1544,1534,1512
Garlic,1528,1535,1537,1529
Garlic,1479,0,3164,2876
Garlic,2848,2880,2942,2892
Garlic,2792,2820,2746,0
Garlic,0,1409,1392,1446
Garlic,1412,1410,1450,1396
Garlic,1442,0,0,1619
Garlic,1604,1590,1624,1584
Garlic,1596,1608,1586,0
Garlic,0,1540,1537,1537
Garlic,1536,1540,1558,1558
Garlic,1512,0,0,2862
Garlic,2856,2892,2932,2852
Garlic,2860,2856,2974,0
Garlic,0,1410,1396,1420
Garlic,1397,1390,1416,1420
Garlic,1433,0,0,1574
Garlic,1578,1596,1600,1616
Garlic,1624,1633,1596,0
Garlic,0,1540,1540,1523
Garlic,1512,1528,1538,1548
Garlic,1518,0,0,2926
Garlic,2862,2946,3002,2888
Garlic,2856,2830,2986,0
Garlic,0,1430,1434,1432
Garlic,1399,1424,1410,1424
Garlic,1416,0,0,1604
Garlic,1600,1610,1633,1630
Garlic,1616,1622,1595,0
Garlic,0,1570,1588,1540
Garlic,1510,1526,1536,1555
Garlic,1522,0,0,2896
Garlic,2864,2964,3028,2950
Garlic,2894,2902,2994,0
Garlic,0,1430,1399,1396
Garlic,1402,1448,1432,1426
Garlic,1420,0,0,1616
Garlic,1622,1618,1587,1615
Garlic,1626,1622,1622,0
Garlic,0,1564,1575,1534
Garlic,1522,1531,1538,1560
Garlic,1546,0,0,2886
Garlic,2838,2948,3024,2990
Garlic,2952,2942,3030,0
Garlic,0,1461,1397,1413
Garlic,1440,1408,1390,1470
Garlic,1436,0,0,1612
Garlic,1604,1626,1643,1626
Garlic,1636,1596,1648,0
Garlic,0,1569,1569,1529
Garlic,1526,1532,1556,1570
Garlic,1556,0,0,2974
Garlic,2824,2942,2994,2980
Garlic,2970,2924,3062,0
Garlic,0,1450,1416,1426
Garlic,1440,1434,1440,1455
Garlic,1424,0,0,1626
Garlic,1620,1626,1636,1614
Garlic,1650,1616,1644,0
Garlic,0,1586,1548,1538
Garlic,1537,1548,1569,1588
Garlic,1548,0,0,3088
Garlic,2880,2974,3046,3002
Garlic,2970,2910,3104,0
Garlic,0,1397,1417,1418
Garlic,1412,1436,1443,1442
Garlic,1456,1622,0,1654
Garlic,1643,1642,1622,1620
Garlic,1640,1654,1626,1692
Garlic,0,1590,1574,1540
Garlic,1545,1552,1576,1598
Garlic,1536,1724,0,3272
Garlic,2898,2984,3128,3018
Garlic,2962,2990,3076,3134
Garlic,0,1446,1438,1430
Garlic,1436,1436,1436,1436
Garlic,1426,1448,0,1672
Garlic,1640,1628,1622,1623
Garlic,1647,1644,1608,1687
Garlic,0,1604,1589,1554
Garlic,1558,1562,1590,1576
Garlic,1534,1641,0,3258
Garlic,2772,2782,2848,2826
Garlic,2918,3040,3078,3044
Garlic,0,1483,1435,1441
Garlic,1411,1438,1438,1414
Garlic,1419,1420,0,1672
Garlic,1612,1601,1626,1641
Garlic,1648,1616,1606,1623
Garlic,0,1706,1626,1615
Garlic,1600,1621,1648,1576
Garlic,1535,1611,0,3006
Garlic,2598,2528,2560,2674
Garlic,2700,2840,3056,2892
Garlic,0,1498,1436,1433
Garlic,1451,1478,1457,1438
Garlic,1426,0,0,1730
Garlic,1608,1620,1653,1687
Garlic,1680,1664,1628,0
Garlic,0,1816,1642,1646
Garlic,1648,1662,1636,1570
Garlic,1518,0,0,3014
Garlic,2598,2522,2578,2790
Garlic,2858,3050,3236,0
Garlic,0,1562,1429,1457
Garlic,1478,1433,1452,1452
Garlic,1446,0,0,1824
Garlic,1625,1666,1678,1690
Garlic,1683,1668,1658,0
Garlic,0,1927,1621,1624
Garlic,1651,1612,1606,1556
Garlic,1637,0,0,3048
Garlic,2528,2630,2624,2836
Garlic,3120,3202,3162,0
Garlic,0,1633,1481,1472
Garlic,1506,1480,1457,1480
Garlic,0,0,0,1807
Garlic,1687,1706,1722,1698
Garlic,1711,1693,0,0
Garlic,0,1980,1700,1678
Garlic,1722,1694,1668,1600
Garlic,0,0,0,2882
Garlic,2594,2734,2830,2990
Garlic,3148,3318,0,0
Garlic,0,0,1525,1546
Garlic,1532,1494,1506,1621
Garlic,0,0,0,0
Garlic,1732,1710,1764,1720
Garlic,1678,1767,0,0
Garlic,0,0,1782,1798
Garlic,1772,1682,1763,1886
Garlic,0,0,0,0
Garlic,2752,2714,2828,2936
Garlic,2892,2960,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
Garlic,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,1411
chana,1434,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,1644,1664,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,1552,1516,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,3764,3612
chana,0,0,0,0
chana,0,1461,1464,1437
chana,1456,1448,1426,1450
chana,1447,0,0,0
chana,0,0,1648,1650
chana,1664,1658,1641,1651
chana,1641,1646,0,0
chana,0,0,0,1639
chana,1594,1606,1608,1596
chana,1587,1572,1532,0
chana,0,0,0,0
chana,2522,2952,3104,3190
chana,3154,3134,3076,3136
chana,0,1482,1567,1544
chana,1520,1469,1432,1429
chana,1458,1450,1450,1440
chana,1411,0,1692,1696
chana,1662,1677,1641,1646
chana,1628,1630,1630,1616
chana,1625,1610,0,1692
chana,1872,1802,1752,1712
chana,1616,1574,1604,1579
chana,1565,1551,1536,0
chana,3400,2304,2054,2058
chana,2362,2882,3014,2920
chana,2900,3170,3204,3056
chana,0,0,0,1590
chana,1586,1542,1462,1420
chana,1445,1448,1432,1432
chana,0,0,0,0
chana,1754,1764,1673,1646
chana,1645,1626,1625,1610
chana,1638,0,0,0
chana,0,1914,1866,1758
chana,1646,1614,1620,1586
chana,1572,1558,0,0
chana,0,0,2404,2268
chana,2420,2724,2786,2890
chana,2932,3150,3144,0
chana,0,0,0,0
chana,0,0,1549,1468
chana,1490,1504,1484,1496
chana,0,0,0,0
chana,0,0,0,1705
chana,1659,1666,1647,1674
chana,1669,0,0,0
chana,0,0,0,0
chana,1763,1680,1678,1686
chana,1688,1650,0,0
chana,0,0,0,0
chana,0,2700,2768,2868
chana,2944,3104,3060,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,1542,1542,1549
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,1730,1802
chana,1750,0,0,0
chana,0,0,0,0
chana,0,0,0,1856
chana,1858,1778,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,2948,2990,2922,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
chana,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,1652,1475,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,1842
G_Onion,1748,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,1934,1722,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,2814
G_Onion,2952,0,0,0
G_Onion,0,0,0,0
G_Onion,0,0,0,0
G_Onion,0,1875,1453,1474
G_Onion,1465,1475,1532,0
G_Onion,0,0,0,0
G_Onion,0,0,0,1861
G_Onion,1742,1708,1711,1713
