Crop_class,Latitude,Longitude,B02_refl,B03_refl,B04_refl,B08_refl
chana,2493018.9484942267,585569.5390208968,1395,1426,0,0
chana,2493018.9484942267,585569.5390208968,0,0,0,1660
chana,2493018.9484942267,585569.5390208968,1667,0,0,0
chana,2493018.9484942267,585569.5390208968,0,0,1762,1759
chana,2493018.9484942267,585569.5390208968,0,0,0,0
chana,2493018.9484942267,585569.5390208968,0,2965,3166,0
chana,2493018.9484942267,585569.5390208968,0,0,0,0
chana,2493018.9484942267,585569.5390208968,1305,1239,1248,1340
chana,2493018.9484942267,585569.5390208968,1395,0,0,1556
chana,2493018.9484942267,585569.5390208968,1518,1594,1646,1684
chana,2493018.9484942267,585569.5390208968,0,0,1528,1391
chana,2493018.9484942267,585569.5390208968,1479,1598,1772,0
chana,2493018.9484942267,585569.5390208968,0,3117,3843,4010
chana,2493018.9484942267,585569.5390208968,3655,3224,0,0
chana,2493018.9484942267,585569.5390208968,1253,1179,1169,1212
chana,2493018.9484942267,585569.5390208968,1227,0,0,1509
chana,2493018.9484942267,585569.5390208968,1456,1495,1503,1558
chana,2493018.9484942267,585569.5390208968,0,0,1518,1299
chana,2493018.9484942267,585569.5390208968,1302,1312,1391,0
chana,2493018.9484942267,585569.5390208968,0,3095,3844,4200
chana,2493018.9484942267,585569.5390208968,4286,3965,0,0
chana,2493018.9484942267,585569.5390208968,1265,1178,1188,1192
chana,2493018.9484942267,585569.5390208968,1189,0,0,1504
chana,2493018.9484942267,585569.5390208968,1451,1454,1464,1490
chana,2493018.9484942267,585569.5390208968,0,0,1543,1298
chana,2493018.9484942267,585569.5390208968,1280,1275,1284,0
chana,2493018.9484942267,585569.5390208968,0,3138,3873,3872
chana,2493018.9484942267,585569.5390208968,4051,3993,0,0
chana,2493018.9484942267,585569.5390208968,1286,1187,1145,1133
chana,2493018.9484942267,585569.5390208968,1164,0,0,1516
chana,2493018.9484942267,585569.5390208968,1430,1402,1438,1454
chana,2493018.9484942267,585569.5390208968,0,0,1580,1317
chana,2493018.9484942267,585569.5390208968,1258,1268,1279,0
chana,2493018.9484942267,585569.5390208968,0,3148,3761,3876
chana,2493018.9484942267,585569.5390208968,3913,3834,0,0
chana,2493018.9484942267,585569.5390208968,1260,1172,1147,1136
chana,2493018.9484942267,585569.5390208968,1162,0,0,1550
chana,2493018.9484942267,585569.5390208968,1458,1422,1438,1442
chana,2493018.9484942267,585569.5390208968,0,0,1535,1288
chana,2493018.9484942267,585569.5390208968,1238,1258,1292,0
chana,2493018.9484942267,585569.5390208968,0,3162,3766,4023
chana,2493018.9484942267,585569.5390208968,3939,3592,0,0
chana,2493018.9484942267,585569.5390208968,1283,1170,1169,1150
chana,2493018.9484942267,585569.5390208968,1170,0,0,1552
chana,2493018.9484942267,585569.5390208968,1447,1434,1440,1442
chana,2493018.9484942267,585569.5390208968,0,0,1606,1282
chana,2493018.9484942267,585569.5390208968,1241,1260,1284,0
chana,2493018.9484942267,585569.5390208968,0,3104,3683,3952
chana,2493018.9484942267,585569.5390208968,3893,3466,0,0
chana,2493018.9484942267,585569.5390208968,1280,1169,1154,1120
chana,2493018.9484942267,585569.5390208968,1150,0,0,1540
chana,2493018.9484942267,585569.5390208968,1446,1444,1451,1429
chana,2493018.9484942267,585569.5390208968,0,0,1606,1295
chana,2493018.9484942267,585569.5390208968,1257,1256,1284,0
chana,2493018.9484942267,585569.5390208968,0,3098,3711,4021
chana,2493018.9484942267,585569.5390208968,3972,3523,0,0
chana,2493018.9484942267,585569.5390208968,1241,1181,1149,1133
chana,2493018.9484942267,585569.5390208968,1153,0,0,1502
chana,2493018.9484942267,585569.5390208968,1467,1440,1456,1409
chana,2493018.9484942267,585569.5390208968,0,0,1593,1338
chana,2493018.9484942267,585569.5390208968,1262,1256,1285,0
chana,2493018.9484942267,585569.5390208968,0,3024,3661,4125
chana,2493018.9484942267,585569.5390208968,4154,3541,0,0
chana,2493018.9484942267,585569.5390208968,1316,1213,1132,1136
chana,2493018.9484942267,585569.5390208968,1156,1174,0,1514
chana,2493018.9484942267,585569.5390208968,1460,1424,1451,1420
chana,2493018.9484942267,585569.5390208968,1406,0,1628,1381
chana,2493018.9484942267,585569.5390208968,1248,1258,1290,1322
chana,2493018.9484942267,585569.5390208968,0,2856,3544,4133
chana,2493018.9484942267,585569.5390208968,4141,3556,2950,0
chana,2493018.9484942267,585569.5390208968,1301,1193,1126,1139
chana,2493018.9484942267,585569.5390208968,1154,1140,0,1490
chana,2493018.9484942267,585569.5390208968,1424,1426,1451,1426
chana,2493018.9484942267,585569.5390208968,1357,0,1584,1381
chana,2493018.9484942267,585569.5390208968,1277,1277,1283,1294
chana,2493018.9484942267,585569.5390208968,0,2669,3257,3874
chana,2493018.9484942267,585569.5390208968,3766,3402,2988,0
chana,2493018.9484942267,585569.5390208968,1216,1187,1126,1153
chana,2493018.9484942267,585569.5390208968,1154,1127,0,1492
chana,2493018.9484942267,585569.5390208968,1431,1420,1433,1417
chana,2493018.9484942267,585569.5390208968,1374,0,1584,1404
chana,2493018.9484942267,585569.5390208968,1289,1289,1276,1318
chana,2493018.9484942267,585569.5390208968,0,2824,3154,3766
chana,2493018.9484942267,585569.5390208968,3591,3397,3098,0
chana,2493018.9484942267,585569.5390208968,0,1217,1146,1174
chana,2493018.9484942267,585569.5390208968,1151,1149,0,0
chana,2493018.9484942267,585569.5390208968,1456,1404,1440,1452
chana,2493018.9484942267,585569.5390208968,1408,0,0,1422
chana,2493018.9484942267,585569.5390208968,1280,1279,1274,1336
chana,2493018.9484942267,585569.5390208968,0,0,3239,3941
chana,2493018.9484942267,585569.5390208968,3945,3759,3227,0
chana,2493018.9484942267,585569.5390208968,0,1243,1151,1163
chana,2493018.9484942267,585569.5390208968,1169,1182,0,0
chana,2493018.9484942267,585569.5390208968,1459,1419,1457,1444
chana,2493018.9484942267,585569.5390208968,1421,0,0,1433
chana,2493018.9484942267,585569.5390208968,1271,1263,1307,1339
chana,2493018.9484942267,585569.5390208968,0,0,3416,4100
chana,2493018.9484942267,585569.5390208968,4244,3853,3360,0
chana,2493018.9484942267,585569.5390208968,0,1214,1148,1180
chana,2493018.9484942267,585569.5390208968,1204,1220,0,0
chana,2493018.9484942267,585569.5390208968,1467,1457,1492,1475
chana,2493018.9484942267,585569.5390208968,1449,0,0,1412
chana,2493018.9484942267,585569.5390208968,1261,1284,1350,1348
chana,2493018.9484942267,585569.5390208968,0,0,3554,4260
chana,2493018.9484942267,585569.5390208968,4335,3654,3442,0
chana,2493018.9484942267,585569.5390208968,0,1211,1193,1182
chana,2493018.9484942267,585569.5390208968,1178,1232,0,0
chana,2493018.9484942267,585569.5390208968,1503,1472,1464,1480
chana,2493018.9484942267,585569.5390208968,1466,0,0,1408
chana,2493018.9484942267,585569.5390208968,1279,1300,1348,1327
chana,2493018.9484942267,585569.5390208968,0,0,3511,3977
chana,2493018.9484942267,585569.5390208968,4009,3682,3688,0
chana,2493018.9484942267,585569.5390208968,0,1262,1178,1196
chana,2493018.9484942267,585569.5390208968,1199,1207,0,0
chana,2493018.9484942267,585569.5390208968,1487,1437,1465,1471
chana,2493018.9484942267,585569.5390208968,1478,0,0,1446
chana,2493018.9484942267,585569.5390208968,1311,1308,1342,1322
chana,2493018.9484942267,585569.5390208968,0,0,3374,3706
chana,2493018.9484942267,585569.5390208968,3787,3765,3743,0
chana,2493018.9484942267,585569.5390208968,0,0,0,0
chana,2493018.9484942267,585569.5390208968,0,0,0,0
chana,2493018.9484942267,585569.5390208968,0,0,0,0
chana,2493018.9484942267,585569.5390208968,0,0,0,0
chana,2493018.9484942267,585569.5390208968,0,0,0,0
chana,2493018.9484942267,585569.5390208968,0,0,0,0
chana,2493018.9484942267,585569.5390208968,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,1316,1443,1242,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,1645,1684
Garlic,2492987.2569605974,585637.3770395952,1464,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,1606,1866,1568,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,3674,3260
Garlic,2492987.2569605974,585637.3770395952,3050,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,1229,1316,1260,1324
Garlic,2492987.2569605974,585637.3770395952,1384,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,1531,1615
Garlic,2492987.2569605974,585637.3770395952,1539,1566,1616,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,1430,1648,1539,1628
Garlic,2492987.2569605974,585637.3770395952,1818,0,0,0
Garlic,2492987.2569605974,585637.3770395952,0,0,3673,3067
Garlic,2492987.2569605974,585637.3770395952,3071,3153,3119,0
Garlic,2492987.2569605974,585637.3770395952,0,0,0,0
Garlic,2492987.2569605974,585637.3770395952,1185,1194,1181,1211
Garlic,2492987.2569605974,585637.3770395952,1214,1276,1356,0
Garlic,2492987.2569605974,585637.3770395952,0,0,1475,1474
Garlic,2492987.2569605974,585637.3770395952,1447,1471,1472,1508
Garlic,2492987.2569605974,585637.3770395952,1624,0,0,0
Garlic,2492987.2569605974,585637.3770395952,1348,1448,1402,1432
Garlic,2492987.2569605974,585637.3770395952,1462,1556,1730,0
Garlic,2492987.2569605974,585637.3770395952,0,0,3529,2741
Garlic,2492987.2569605974,585637.3770395952,2697,2762,2807,2834
Garlic,2492987.2569605974,585637.3770395952,2936,0,0,0
Garlic,2492987.2569605974,585637.3770395952,1200,1218,1197,1185
Garlic,2492987.2569605974,585637.3770395952,1196,1209,1211,1255
Garlic,2492987.2569605974,585637.3770395952,1247,0,1454,1446
Garlic,2492987.2569605974,585637.3770395952,1414,1416,1408,1419
Garlic,2492987.2569605974,585637.3770395952,1452,1485,1495,0
Garlic,2492987.2569605974,585637.3770395952,1339,1356,1360,1374
Garlic,2492987.2569605974,585637.3770395952,1373,1424,1472,1527
Garlic,2492987.2569605974,585637.3770395952,1530,0,3188,2794
Garlic,2492987.2569605974,585637.3770395952,2628,2676,2671,2600
Garlic,2492987.2569605974,585637.3770395952,2615,2777,2829,0
